model,model_params,category,difficulty,target_lang,original_text,translation,reference,eval_precision,eval_naturalness,eval_coverage,eval_notes
llama3.2:3b,3B,Saludos cotidianos,Fácil,español,Moien! Wéi geet et dir?,¡Hola! ¿Cómo estás?,¡Hola! ¿Cómo estás?,0,0,0,
llama3.2:3b,3B,Saludos cotidianos,Fácil,francés,Moien! Wéi geet et dir?,Bonjour ! Comment vas-tu ?,Salut! Comment vas-tu?,0,0,0,
llama3.2:3b,3B,Saludos cotidianos,Fácil,inglés,Moien! Wéi geet et dir?,Hello! How are you?,Hello! How are you?,0,0,0,
llama3.2:3b,3B,Presentación personal,Media,español,Ech heeschen Claude an ech si aus Lëtzebuerg,Hecha en Claude en su patria de Luxemburgo.,Me llamo Claude y soy de Luxemburgo,0,0,0,
llama3.2:3b,3B,Presentación personal,Media,francés,Ech heeschen Claude an ech si aus Lëtzebuerg,Claude est à son bureau à Luxembourg.,Je m'appelle Claude et je viens du Luxembourg,0,0,0,
llama3.2:3b,3B,Presentación personal,Media,inglés,Ech heeschen Claude an ech si aus Lëtzebuerg,Hello Claude from Luxembourg,My name is Claude and I'm from Luxembourg,0,0,0,
llama3.2:3b,3B,Comida y cultura,Media,español,Ech géif gär e Kachkéis iessen,Comer queso en pollo,Me gustaría comer queso fundido,0,0,0,
llama3.2:3b,3B,Comida y cultura,Media,francés,Ech géif gär e Kachkéis iessen,Se lesiona el estómago después de comer queso.,J'aimerais manger du fromage fondu,0,0,0,
llama3.2:3b,3B,Comida y cultura,Media,inglés,Ech géif gär e Kachkéis iessen,They ate the potatoes and cheese,I would like to eat melted cheese,0,0,0,
llama3.2:3b,3B,Trabajo,Fácil,español,Wat mécht d'Aarbecht?,¿Qué hará la industria?,¿Cómo va el trabajo?,0,0,0,
llama3.2:3b,3B,Trabajo,Fácil,francés,Wat mécht d'Aarbecht?,Qu'est-ce que fait l'industrie?,Comment va le travail?,0,0,0,
llama3.2:3b,3B,Trabajo,Fácil,inglés,Wat mécht d'Aarbecht?,What is the point of work?,How is work going?,0,0,0,
llama3.2:3b,3B,Evento cultural,Difícil,español,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,El festival de Schueberfouer es un gran festival en Luxemburgo.,La Schueberfouer es una gran fiesta en Luxemburgo,0,0,0,
llama3.2:3b,3B,Evento cultural,Difícil,francés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,Le Schueberfouer est un grand festival à Luxembourg.,La Schueberfouer est une grande fête au Luxembourg,0,0,0,
llama3.2:3b,3B,Evento cultural,Difícil,inglés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,The Schueberfouer is a large festival in Luxembourg.,The Schueberfouer is a big festival in Luxembourg,0,0,0,
llama3:8b,8B,Saludos cotidianos,Fácil,español,Moien! Wéi geet et dir?,,¡Hola! ¿Cómo estás?,0,0,0,
llama3:8b,8B,Saludos cotidianos,Fácil,francés,Moien! Wéi geet et dir?,Bonjour ! Comment vas-tu ?,Salut! Comment vas-tu?,0,0,0,
llama3:8b,8B,Saludos cotidianos,Fácil,inglés,Moien! Wéi geet et dir?,Hello! How are you?,Hello! How are you?,0,0,0,
llama3:8b,8B,Presentación personal,Media,español,Ech heeschen Claude an ech si aus Lëtzebuerg,Sólo hay un Claude en mi tierra de Luxemburgo.,Me llamo Claude y soy de Luxemburgo,0,0,0,
llama3:8b,8B,Presentación personal,Media,francés,Ech heeschen Claude an ech si aus Lëtzebuerg,Il parle le luxembourgeois Claude dans sa région natale.,Je m'appelle Claude et je viens du Luxembourg,0,0,0,
llama3:8b,8B,Presentación personal,Media,inglés,Ech heeschen Claude an ech si aus Lëtzebuerg,"Translation:

I am Claude from Luxembourg.",My name is Claude and I'm from Luxembourg,0,0,0,
llama3:8b,8B,Comida y cultura,Media,español,Ech géif gär e Kachkéis iessen,Solo podemos comer gachas.,Me gustaría comer queso fundido,0,0,0,
llama3:8b,8B,Comida y cultura,Media,francés,Ech géif gär e Kachkéis iessen,Il faut manger des fromages et du gâteau.,J'aimerais manger du fromage fondu,0,0,0,
llama3:8b,8B,Comida y cultura,Media,inglés,Ech géif gär e Kachkéis iessen,They only eat cake and cookies.,I would like to eat melted cheese,0,0,0,
llama3:8b,8B,Trabajo,Fácil,español,Wat mécht d'Aarbecht?,¿Qué hace el trabajo?,¿Cómo va el trabajo?,0,0,0,
llama3:8b,8B,Trabajo,Fácil,francés,Wat mécht d'Aarbecht?,Qu'est-ce que le travail fait?,Comment va le travail?,0,0,0,
llama3:8b,8B,Trabajo,Fácil,inglés,Wat mécht d'Aarbecht?,What's the matter with work?,How is work going?,0,0,0,
llama3:8b,8B,Evento cultural,Difícil,español,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,"La traducción es:

""El Schueberfouer es un gran festival en Luxemburgo""",La Schueberfouer es una gran fiesta en Luxemburgo,0,0,0,
llama3:8b,8B,Evento cultural,Difícil,francés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,Le Schübergoué est un grand festival à Luxembourg.,La Schueberfouer est une grande fête au Luxembourg,0,0,0,
llama3:8b,8B,Evento cultural,Difícil,inglés,D'Schueberfouer ass e groussen Fest zu Lëtzebuerg,"Translation:

The Schueberfouer is a great festival in Luxembourg",The Schueberfouer is a big festival in Luxembourg,0,0,0,
qwen2.5:7b,14B,Saludos cotidianos,Fácil,español,Moien! Wéi geet et dir?,¡Moien! ¿Cómo estás?,¡Hola! ¿Cómo estás?,0,0,0,
qwen2.5:7b,14B,Saludos cotidianos,Fácil,francés,Moien! Wéi geet et dir?,Bonjour ! Comment ça va ?,Salut! Comment vas-tu?,0,0,0,
qwen2.5:7b,14B,Saludos cotidianos,Fácil,inglés,Moien! Wéi geet et dir?,Hello! How are you?,Hello! How are you?,0,0,0,
qwen2.5:7b,14B,Presentación personal,Media,español,Ech heeschen Claude an ech si aus Lëtzebuerg,Echas que sean Claude y que sea de Luxemburgo,Me llamo Claude y soy de Luxemburgo,0,0,0,
qwen2.5:7b,14B,Presentación personal,Media,francés,Ech heeschen Claude an ech si aus Lëtzebuerg,Eux s'appellent Claude et ils viennent du Luxembourg,Je m'appelle Claude et je viens du Luxembourg,0,0,0,
